Month,State,City,Sessions,New users,Users,Transactions,Transaction revenue
2019|03,Queensland,Dalby,115,38,82,0,$0.00
2019|03,Queensland,Emerald,208,71,121,5,$782.59
2019|03,Queensland,Gladstone,476,104,213,11,"$1,259.06"
2019|03,Queensland,Gold Coast,"24,393","7,611","13,798",788,"$98,618.13"
2019|03,Queensland,Gympie,509,110,192,27,"$7,423.70"
2019|03,Queensland,Hervey Bay,674,153,323,22,"$1,148.62"
2019|03,Queensland,Kingaroy,33,16,33,0,$0.00
2019|03,Queensland,Mackay,"2,261",783,"1,374",33,"$3,503.90"
2019|03,Queensland,Maroochydore,22,11,16,0,$0.00
2019|03,Queensland,Maryborough,137,49,77,5,"$1,876.84"
2019|03,Queensland,Mount Isa,131,22,66,16,"$1,477.09"
2019|03,Queensland,Nambour,44,22,38,5,"$1,209.67"
2019|03,Queensland,Nerang,27,16,22,0,$0.00
2019|03,Queensland,Redcliffe,5,0,5,0,$0.00
2019|03,Queensland,Rockhampton,569,225,361,22,"$4,730.60"
2019|03,Queensland,Sunshine Coast,"12,571","3,904","6,915",301,"$28,775.06"
2019|03,Queensland,Toowoomba,"5,196","1,544","2,853",197,"$20,436.38"
2019|03,Queensland,Townsville,"5,705","1,571","2,935",148,"$16,772.87"
2019|03,Queensland,Warwick,88,38,66,0,$0.00
2019|03,South Australia,(not set),"1,730",433,805,60,"$10,249.15"
2019|03,South Australia,Adelaide,"143,263","39,231","63,689","4,025","$477,877.88"
2019|03,South Australia,Gawler,213,49,110,5,"$2,212.21"
2019|03,South Australia,Mount Gambier,559,71,186,16,"$2,870.51"
2019|03,South Australia,Murray Bridge,197,82,137,0,$0.00
2019|03,South Australia,Port Lincoln,33,16,27,11,$547.53
2019|03,South Australia,Port Pirie,246,44,104,0,$0.00
2019|03,South Australia,Victor Harbor - Goolwa,345,82,164,5,$284.28
2019|03,South Australia,Whyalla,110,33,66,0,$0.00
2019|03,Tasmania,(not set),"1,204",318,663,16,"$6,640.40"
2019|03,Tasmania,Burnie - Somerset,443,121,236,16,"$9,282.64"
2019|03,Tasmania,Devonport,"2,064",433,"1,057",82,"$9,919.59"
2019|03,Tasmania,Hobart,"17,565","4,528","8,333",443,"$55,680.41"
2019|03,Tasmania,Kingston,5,5,5,0,$0.00
2019|03,Tasmania,Launceston,"11,630","2,546","5,262",449,"$48,952.95"
2019|03,Tasmania,Ulverstone,236,77,159,5,$590.24
2019|03,Victoria,(not set),"4,599","1,112","2,426",104,"$10,170.80"
2019|03,Victoria,Bacchus Marsh,290,71,137,5,$660.60
2019|03,Victoria,Bairnsdale,104,22,49,5,$727.35
2019|03,Victoria,Ballarat,"2,869",750,"1,506",77,"$14,313.67"
2019|03,Victoria,Barwon Downs,104,16,44,5,$892.21
2019|03,Victoria,Bendigo,"2,075",498,969,115,"$15,016.82"
2019|03,Victoria,Colac,252,93,159,11,"$1,248.33"
2019|03,Victoria,Craigieburn,11,5,11,0,$0.00
2019|03,Victoria,Cranbourne,104,16,55,5,$174.88
2019|03,Victoria,Drouin,361,110,181,11,$368.11
2019|03,Victoria,Echuca,181,104,142,0,$0.00
2019|03,Victoria,Geelong,"6,839","1,982","3,504",219,"$30,622.83"
2019|03,Victoria,Hamilton,66,33,55,0,$0.00
2019|03,Victoria,Horsham,16,11,16,0,$0.00
2019|03,Victoria,Melbourne,"644,132","177,330","286,728","18,227","$2,171,095.89"
2019|03,Victoria,Melton,66,11,27,0,$0.00
2019|03,Victoria,Mildura,"1,424",274,471,55,"$5,587.71"
2019|03,Victoria,Moe - Newborough,192,82,159,5,$366.30
2019|03,Victoria,Morwell,285,38,110,0,$0.00
2019|03,Victoria,Pakenham,"2,217",487,"1,029",33,"$2,821.29"
2019|03,Victoria,Portland,22,11,11,0,$0.00
2019|03,Victoria,Sale,246,55,93,5,$313.85
2019|03,Victoria,Shepparton - Mooroopna,"1,363",345,701,38,"$10,698.13"
2019|03,Victoria,Sunbury,646,197,345,33,"$1,862.66"
2019|03,Victoria,Swan Hill,82,22,55,0,$0.00
2019|03,Victoria,Traralgon,449,137,274,22,"$1,594.64"
2019|03,Victoria,Wangaratta,301,71,137,0,$0.00
2019|03,Victoria,Warragul,805,208,411,16,"$1,711.76"
2019|03,Victoria,Warrnambool,553,148,345,22,"$1,949.44"
2019|03,Victoria,Wodonga,"2,918",794,"1,582",55,"$8,926.09"
2019|03,Western Australia,(not set),"2,612",674,"1,281",104,"$20,379.10"
2019|03,Western Australia,Albany,153,60,110,0,$0.00
2019|03,Western Australia,Broome,5,5,5,0,$0.00
2019|03,Western Australia,Bunbury,640,219,372,49,"$7,139.97"
